,0,1,2,3,4
0,-2.3983994,-2.2537973,-2.3667138,-2.2646604,-2.3710515
1,-2.2839506,-2.1471548,-2.254411,-2.1573243,-2.2578378
2,-2.1689,-2.0400338,-2.1415834,-2.0494466,-2.144075
3,-2.0532756,-1.9324586,-2.028259,-1.9410522,-2.0297885
4,-1.9371054,-1.8244553,-1.914465,-1.832167,-1.9150068
5,-1.8204193,-1.7160506,-1.8002313,-1.7228181,-1.7997583
6,-1.7032481,-1.6072721,-1.6855886,-1.6130345,-1.6840731
7,-1.5856243,-1.4981487,-1.5705681,-1.5028452,-1.567982
8,-1.4675809,-1.38871,-1.4552027,-1.3922814,-1.4515169
9,-1.3491524,-1.278987,-1.3395259,-1.2813743,-1.3347111
10,-1.2303741,-1.169011,-1.2235727,-1.1701568,-1.2175981
11,-1.1112822,-1.0588145,-1.107378,-1.058662,-1.1002128
12,-0.99191415,-0.94843054,-0.9909785,-0.9469247,-0.98259073
13,-0.87230766,-0.8378929,-0.87441087,-0.83497965,-0.86476797
14,-0.7525015,-0.7272357,-0.7577126,-0.7228624,-0.7467814
15,-0.632535,-0.616494,-0.64092207,-0.6106095,-0.6286683
16,-0.512448,-0.50570303,-0.5240778,-0.49825752,-0.5104665
17,-0.39228085,-0.39489847,-0.40721843,-0.38584355,-0.39221415
18,-0.27207416,-0.28411618,-0.29038337,-0.2734051,-0.27394974
19,-0.15186891,-0.1733922,-0.17361185,-0.16097969,-0.15571177
20,-0.031706095,-0.062762715,-0.05694322,-0.048605047,-0.037538953
21,0.088373154,0.04773615,0.059583202,0.06368117,0.08053003
22,0.20832777,0.15806837,0.1759283,0.17584139,0.19845672
23,0.32811686,0.26819807,0.29205316,0.28783825,0.3162028
24,0.44769987,0.3780898,0.40791926,0.39963472,0.4337301
25,0.5670364,0.4877082,0.5234885,0.5111942,0.5510012
26,0.6860868,0.5970187,0.6387234,0.62248045,0.66797894
27,0.8048116,0.705987,0.753587,0.73345786,0.7846268
28,0.92317224,0.8145796,0.8680432,0.84409183,0.9009089
29,1.041131,0.9227636,0.9820566,0.954348,1.0167903
30,1.1586508,1.0305068,1.0955926,1.0641931,1.1322361
31,1.2756953,1.137778,1.2086179,1.1735947,1.2472138
32,1.3922296,1.2445471,1.3210998,1.2825216,1.3616906
33,1.5082192,1.3507843,1.433007,1.3909432,1.4756348
34,1.6236315,1.4564613,1.5443093,1.4988302,1.5890164
35,1.7384341,1.5615506,1.6549774,1.6061546,1.7018062
36,1.8525966,1.6660261,1.7649837,1.7128891,1.8139759
37,1.96609,1.7698628,1.8743013,1.819008,1.925499
38,2.0788856,1.8730363,1.9829049,1.9244869,2.03635
39,2.1909566,1.9755242,2.090771,2.0293024,2.146504
